Label,Settled,Germinated,Ratio,Treatment
A1,14,10,0.714285714,A Treatment
A2,23,9,0.391304348,A Treatment
A3,9,2,0.222222222,A Treatment
A4,8,4,0.5,A Treatment
A5,19,8,0.421052632,A Treatment
B1,12,7,0.583333333,A Treatment
B2,15,8,0.533333333,A Treatment
B3,15,5,0.333333333,A Treatment
B4,19,3,0.157894737,A Treatment
B5,15,3,0.2,A Treatment
C1,14,4,0.285714286,A Treatment
C2,39,17,0.435897436,A Treatment
C3,8,4,0.5,A Treatment
C4,23,7,0.304347826,A Treatment
C5,16,9,0.5625,A Treatment
D1,18,3,0.166666667,A Treatment
D2,10,7,0.7,A Treatment
D3,12,7,0.583333333,A Treatment
D4,12,2,0.166666667,A Treatment
D5,10,2,0.2,A Treatment
E1,40,9,0.225,A Treatment
E2,37,8,0.216216216,A Treatment
E3,22,7,0.318181818,A Treatment
E4,22,11,0.5,A Treatment
E5,22,10,0.454545455,A Treatment
F1,24,11,0.458333333,A Treatment
F2,29,16,0.551724138,A Treatment
F3,18,6,0.333333333,A Treatment
F4,20,7,0.35,A Treatment
F5,17,5,0.294117647,A Treatment
G1,20,12,0.6,A Treatment
G2,11,1,0.090909091,A Treatment
G3,10,1,0.1,A Treatment
G4,18,10,0.555555556,A Treatment
G5,18,11,0.611111111,A Treatment
H1,29,10,0.344827586,A Treatment
H2,15,7,0.466666667,A Treatment
H3,19,11,0.578947368,A Treatment
H4,14,11,0.785714286,A Treatment
H5,19,9,0.473684211,A Treatment
A1,8,3,0.375,A Control
A2,6,2,0.333333333,A Control
A3,8,3,0.375,A Control
A4,7,3,0.428571429,A Control
A5,12,5,0.416666667,A Control
B1,18,6,0.333333333,A Control
B2,14,5,0.357142857,A Control
B3,19,8,0.421052632,A Control
B4,13,10,0.769230769,A Control
B5,18,12,0.666666667,A Control
C1,5,4,0.8,A Control
C2,18,5,0.277777778,A Control
C3,8,2,0.25,A Control
C4,11,6,0.545454545,A Control
C5,13,8,0.615384615,A Control
D1,18,8,0.444444444,A Control
D2,14,6,0.428571429,A Control
D3,12,5,0.416666667,A Control
D4,14,10,0.714285714,A Control
D5,7,2,0.285714286,A Control
E1,10,5,0.5,A Control
E2,16,9,0.5625,A Control
E3,14,8,0.571428571,A Control
E4,16,6,0.375,A Control
E5,10,5,0.5,A Control
F1,13,10,0.769230769,A Control
F2,17,8,0.470588235,A Control
F3,25,9,0.36,A Control
F4,18,10,0.555555556,A Control
F5,10,7,0.7,A Control
G1,20,12,0.6,A Control
G2,15,9,0.6,A Control
G3,18,10,0.555555556,A Control
G4,22,12,0.545454545,A Control
G5,40,10,0.25,A Control
H1,24,16,0.666666667,A Control
H2,10,5,0.5,A Control
H3,22,7,0.318181818,A Control
H4,20,8,0.4,A Control
H5,16,4,0.25,A Control
A1,29,13,0.448275862,A Treatment
A2,17,8,0.470588235,A Treatment
A3,17,10,0.588235294,A Treatment
A4,23,10,0.434782609,A Treatment
A5,24,12,0.5,A Treatment
B1,29,12,0.413793103,A Treatment
B2,26,13,0.5,A Treatment
B3,14,4,0.285714286,A Treatment
B4,27,10,0.37037037,A Treatment
B5,16,5,0.3125,A Treatment
C1,14,5,0.357142857,A Treatment
C2,23,8,0.347826087,A Treatment
C3,22,12,0.545454545,A Treatment
C4,17,7,0.411764706,A Treatment
C5,15,7,0.466666667,A Treatment
D1,15,7,0.466666667,A Treatment
D2,9,3,0.333333333,A Treatment
D3,12,6,0.5,A Treatment
D4,29,10,0.344827586,A Treatment
D5,21,7,0.333333333,A Treatment
D6,10,6,0.6,A Treatment
E1,16,8,0.5,A Treatment
E2,18,11,0.611111111,A Treatment
E3,16,10,0.625,A Treatment
E4,22,14,0.636363636,A Treatment
E5,28,17,0.607142857,A Treatment
F1,17,10,0.588235294,A Treatment
F2,22,8,0.363636364,A Treatment
F3,31,13,0.419354839,A Treatment
F4,22,9,0.409090909,A Treatment
F5,16,10,0.625,A Treatment
F6,20,14,0.7,A Treatment
G1,34,18,0.529411765,A Treatment
G2,40,20,0.5,A Treatment
G3,13,3,0.230769231,A Treatment
G4,18,10,0.555555556,A Treatment
G5,21,7,0.333333333,A Treatment
H1,21,9,0.428571429,A Treatment
H2,15,9,0.6,A Treatment
H3,14,6,0.428571429,A Treatment
A1,23,8,0.347826087,B Control
A2,23,12,0.52173913,B Control
A3,25,10,0.4,B Control
A4,13,10,0.769230769,B Control
A5,21,9,0.428571429,B Control
B1,34,17,0.5,B Control
B2,30,17,0.566666667,B Control
B3,34,22,0.647058824,B Control
B4,34,20,0.588235294,B Control
B5,12,11,0.916666667,B Control
C1,24,14,0.583333333,B Control
C2,29,20,0.689655172,B Control
C3,33,26,0.787878788,B Control
C4,30,18,0.6,B Control
C5,47,24,0.510638298,B Control
D1,17,8,0.470588235,B Control
D2,22,14,0.636363636,B Control
D3,25,11,0.44,B Control
D4,23,12,0.52173913,B Control
D5,18,8,0.444444444,B Control
E1,19,13,0.684210526,B Control
E2,20,12,0.6,B Control
E3,19,13,0.684210526,B Control
E4,29,12,0.413793103,B Control
E5,20,11,0.55,B Control
F1,25,11,0.44,B Control
F2,28,11,0.392857143,B Control
F3,23,14,0.608695652,B Control
F4,21,8,0.380952381,B Control
F5,23,10,0.434782609,B Control
G1,27,20,0.740740741,B Control
G2,27,17,0.62962963,B Control
G3,26,16,0.615384615,B Control
G4,31,13,0.419354839,B Control
G5,36,21,0.583333333,B Control
Extra 1,29,15,0.517241379,B Control
H1,27,14,0.518518519,B Control
H2,29,24,0.827586207,B Control
H3,31,20,0.64516129,B Control
H4,24,17,0.708333333,B Control
A1,32,15,0.46875,B Treatment
A2,28,14,0.5,B Treatment
A3,17,9,0.529411765,B Treatment
A4,25,12,0.48,B Treatment
A5,44,14,0.318181818,B Treatment
B1,15,10,0.666666667,B Treatment
B2,23,10,0.434782609,B Treatment
B3,20,8,0.4,B Treatment
B4,18,10,0.555555556,B Treatment
B5,23,8,0.347826087,B Treatment
C1,34,18,0.529411765,B Treatment
C2,31,15,0.483870968,B Treatment
C3,37,13,0.351351351,B Treatment
C4,40,17,0.425,B Treatment
C5,21,6,0.285714286,B Treatment
D1,31,13,0.419354839,B Treatment
D2,23,9,0.391304348,B Treatment
D3,28,9,0.321428571,B Treatment
D4,29,14,0.482758621,B Treatment
D5,34,16,0.470588235,B Treatment
E1,47,8,0.170212766,B Treatment
E2,32,12,0.375,B Treatment
E3,34,12,0.352941176,B Treatment
E4,29,13,0.448275862,B Treatment
F1,24,16,0.666666667,B Treatment
F2,25,18,0.72,B Treatment
F3,43,29,0.674418605,B Treatment
F4,38,20,0.526315789,B Treatment
F5,23,9,0.391304348,B Treatment
G1,32,13,0.40625,B Treatment
G2,53,28,0.528301887,B Treatment
G3,45,28,0.622222222,B Treatment
G4,42,20,0.476190476,B Treatment
G5,47,26,0.553191489,B Treatment
H1,39,16,0.41025641,B Treatment
H2,16,7,0.4375,B Treatment
H3,24,15,0.625,B Treatment
H4,22,9,0.409090909,B Treatment
H5,24,12,0.5,B Treatment
A1,52,25,0.480769231,B Treatment
A2,57,25,0.438596491,B Treatment
A3,38,19,0.5,B Treatment
A4,41,17,0.414634146,B Treatment
A5,49,21,0.428571429,B Treatment
B1,30,18,0.6,B Treatment
B2,35,17,0.485714286,B Treatment
B3,27,16,0.592592593,B Treatment
B4,40,16,0.4,B Treatment
B5,21,5,0.238095238,B Treatment
C1,40,13,0.325,B Treatment
C2,36,17,0.472222222,B Treatment
C3,28,15,0.535714286,B Treatment
C4,40,20,0.5,B Treatment
C5,35,25,0.714285714,B Treatment
D1,21,5,0.238095238,B Treatment
D2,14,11,0.785714286,B Treatment
D3,25,5,0.2,B Treatment
D4,19,10,0.526315789,B Treatment
D5,18,14,0.777777778,B Treatment
E1,26,12,0.461538462,B Treatment
E2,33,17,0.515151515,B Treatment
E3,24,12,0.5,B Treatment
E4,30,18,0.6,B Treatment
E5,38,25,0.657894737,B Treatment
F1,47,19,0.404255319,B Treatment
F2,22,9,0.409090909,B Treatment
F3,41,12,0.292682927,B Treatment
F4,22,8,0.363636364,B Treatment
F5,28,11,0.392857143,B Treatment
G1,43,18,0.418604651,B Treatment
G2,27,17,0.62962963,B Treatment
G3,29,18,0.620689655,B Treatment
G4,12,1,0.083333333,B Treatment
G5,27,14,0.518518519,B Treatment
H1,19,13,0.684210526,B Treatment
H2,59,14,0.237288136,B Treatment
H3,38,11,0.289473684,B Treatment
H4,26,15,0.576923077,B Treatment
H5,39,12,0.307692308,B Treatment